,date,match,results,box_score_url
1202,09/13/2024,Utah (Big 12) vs Loyola Chicago (Atlantic 10),"[3-0] (29-27, 25-20, 25-20)",https://stats.ncaa.org/contests/5670454/box_score
1203,09/13/2024,Nevada (Mountain West) vs California Baptist (WAC),"[3-1] (23-25, 25-9, 27-25, 25-20)",https://stats.ncaa.org/contests/5670455/box_score
1204,09/13/2024,Rider (MAAC) vs Georgetown (Big East),"[0-3] (17-25, 19-25, 14-25)",https://stats.ncaa.org/contests/5670457/box_score
1205,09/13/2024,Southeastern La. (Southland) vs Louisiana Tech (CUSA),"[3-1] (23-25, 25-18, 25-20, 25-11)",https://stats.ncaa.org/contests/5670458/box_score
1206,09/13/2024,Drake (MVC) vs Ole Miss (SEC),"[0-3] (26-28, 15-25, 20-25)",https://stats.ncaa.org/contests/5670459/box_score
1207,09/13/2024,UAB (AAC) vs North Ala. (ASUN),"[3-0] (25-16, 25-13, 25-20)",https://stats.ncaa.org/contests/5670460/box_score
1208,09/13/2024,IU Indy (Horizon) vs George Washington (Atlantic 10),"[1-3] (25-23, 17-25, 15-25, 24-26)",https://stats.ncaa.org/contests/5670463/box_score
1209,09/13/2024,Cornell (Ivy League) vs Valparaiso (MVC),"[3-1] (27-25, 14-25, 25-17, 29-27)",https://stats.ncaa.org/contests/5670464/box_score
1210,09/13/2024,Winthrop (Big South) vs App State (Sun Belt),"[0-3] (20-25, 18-25, 23-25)",https://stats.ncaa.org/contests/5670465/box_score
1211,09/13/2024,Sacramento St. (Big Sky) vs Oakland (Horizon),"[3-0] (25-20, 25-23, 25-20)",https://stats.ncaa.org/contests/5670466/box_score
1212,09/13/2024,Weber St. (Big Sky) vs Missouri St. (MVC),"[3-2] (25-21, 22-25, 25-16, 18-25, 15-11)",https://stats.ncaa.org/contests/5670467/box_score
1213,09/13/2024,Bucknell (Patriot) vs Canisius (MAAC),"[3-2] (25-18, 26-24, 23-25, 18-25, 15-10)",https://stats.ncaa.org/contests/5670469/box_score
1214,09/13/2024,Youngstown St. (Horizon) vs Niagara (MAAC),"[3-0] (25-23, 25-15, 25-18)",https://stats.ncaa.org/contests/5670470/box_score
1215,09/13/2024,Western Ill. (OVC) vs North Dakota (Summit League),"[0-3] (19-25, 20-25, 15-25)",https://stats.ncaa.org/contests/5670476/box_score
1216,09/13/2024,Gardner-Webb (Big South) vs UNCW (CAA),"[0-3] (23-25, 20-25, 24-26)",https://stats.ncaa.org/contests/5670479/box_score
1217,09/13/2024,American (Patriot) vs Campbell (CAA),"[3-2] (25-20, 25-22, 22-25, 19-25, 15-13)",https://stats.ncaa.org/contests/5670480/box_score
1218,09/13/2024,Utah St. (Mountain West) vs LMU (CA) (WCC),"[0-3] (22-25, 14-25, 12-25)",https://stats.ncaa.org/contests/5670482/box_score
1219,09/13/2024,Colorado St. (Mountain West) vs Notre Dame (ACC),"[1-3] (25-23, 16-25, 21-25, 15-25)",https://stats.ncaa.org/contests/5670484/box_score
1220,09/13/2024,Marist (MAAC) vs Delaware (CAA),"[0-3] (10-25, 13-25, 15-25)",https://stats.ncaa.org/contests/5670485/box_score
1221,09/13/2024,Kent St. (MAC) vs Xavier (Big East),"[0-3] (22-25, 27-29, 17-25)",https://stats.ncaa.org/contests/5670488/box_score
1222,09/13/2024,Fla. Atlantic (AAC) vs Florida St. (ACC),"[0-3] (23-25, 14-25, 24-26)",https://stats.ncaa.org/contests/5670489/box_score
1223,09/13/2024,Southern Utah (WAC) vs Santa Clara (WCC),"[3-2] (28-30, 13-25, 25-22, 25-17, 15-13)",https://stats.ncaa.org/contests/5670498/box_score
1224,09/13/2024,Bellarmine (ASUN) vs Chattanooga (SoCon),"[1-3] (11-25, 17-25, 25-16, 17-25)",https://stats.ncaa.org/contests/5670505/box_score
1225,09/13/2024,Oklahoma (SEC) vs Tulsa (AAC),"[3-2] (21-25, 19-25, 25-15, 25-22, 15-11)",https://stats.ncaa.org/contests/5670521/box_score
1226,09/13/2024,Temple (AAC) vs Texas A&M (SEC),"[0-3] (10-25, 18-25, 26-28)",https://stats.ncaa.org/contests/5670522/box_score
1227,09/13/2024,Northern Ky. (Horizon) vs Toledo (MAC),"[1-3] (26-24, 18-25, 19-25, 18-25)",https://stats.ncaa.org/contests/5670523/box_score
1228,09/13/2024,Charleston So. (Big South) vs Ga. Southern (Sun Belt),"[0-3] (17-25, 15-25, 17-25)",https://stats.ncaa.org/contests/5670524/box_score
1229,09/13/2024,San Francisco (WCC) vs UTRGV (Southland),"[3-0] (25-23, 25-23, 25-18)",https://stats.ncaa.org/contests/5670527/box_score
1230,09/13/2024,Mississippi St. (SEC) vs Tulane (AAC),"[3-1] (25-23, 24-26, 25-15, 25-21)",https://stats.ncaa.org/contests/5670529/box_score
1231,09/13/2024,UT Martin (OVC) vs Missouri (SEC),"[0-3] (12-25, 9-25, 13-25)",https://stats.ncaa.org/contests/5670531/box_score
1232,09/13/2024,Pittsburgh (ACC) vs Pepperdine (WCC),"[3-0] (25-18, 25-8, 25-15)",https://stats.ncaa.org/contests/5670532/box_score
1233,09/13/2024,Virginia (ACC) vs Liberty (CUSA),"[3-2] (16-25, 25-19, 22-25, 25-23, 15-9)",https://stats.ncaa.org/contests/5670537/box_score
1234,09/13/2024,Illinois St. (MVC) vs Milwaukee (Horizon),"[2-3] (25-21, 25-22, 20-25, 18-25, 7-15)",https://stats.ncaa.org/contests/5670541/box_score
1235,09/13/2024,West Ga. (ASUN) vs Tennessee Tech (OVC),"[0-3] (21-25, 21-25, 14-25)",https://stats.ncaa.org/contests/5670545/box_score
1236,09/13/2024,Kentucky (SEC) vs SMU (ACC),"[3-0] (25-23, 26-24, 25-21)",https://stats.ncaa.org/contests/5670547/box_score
1237,09/13/2024,Columbia (Ivy League) vs Providence (Big East),"[1-3] (21-25, 25-21, 13-25, 19-25)",https://stats.ncaa.org/contests/5670553/box_score
1238,09/13/2024,Montana St. (Big Sky) vs South Dakota (Summit League),"[2-3] (28-26, 19-25, 21-25, 25-23, 10-15)",https://stats.ncaa.org/contests/5670554/box_score
1239,09/13/2024,Oregon St. (Pac-12) vs Hawaii (Big West),"[2-3] (25-20, 25-18, 22-25, 23-25, 10-15)",https://stats.ncaa.org/contests/5670555/box_score
1240,09/13/2024,Eastern Mich. (MAC) vs Morehead St. (OVC),"[3-1] (15-25, 25-21, 25-17, 26-24)",https://stats.ncaa.org/contests/5670556/box_score
1241,09/13/2024,Cleveland St. (Horizon) vs Virginia Tech (ACC),"[3-0] (25-19, 25-23, 26-24)",https://stats.ncaa.org/contests/5670558/box_score
1242,09/13/2024,Holy Cross (Patriot) vs Merrimack (MAAC),"[3-0] (27-25, 25-19, 32-30)",https://stats.ncaa.org/contests/5670559/box_score
1243,09/13/2024,Dayton (Atlantic 10) vs Western Ky. (CUSA),"[3-0] (25-20, 25-21, 25-20)",https://stats.ncaa.org/contests/5670561/box_score
1244,09/13/2024,Stony Brook (CAA) vs Rhode Island (Atlantic 10),"[3-0] (25-16, 25-17, 25-21)",https://stats.ncaa.org/contests/5670563/box_score
1245,09/13/2024,Lamar University (Southland) vs Memphis (AAC),"[3-0] (26-24, 25-19, 26-24)",https://stats.ncaa.org/contests/5670565/box_score
1246,09/13/2024,Southern Miss. (Sun Belt) vs Mercer (SoCon),"[1-3] (15-25, 27-25, 18-25, 22-25)",https://stats.ncaa.org/contests/5670566/box_score
1247,09/13/2024,Brown (Ivy League) vs DePaul (Big East),"[1-3] (18-25, 22-25, 25-23, 19-25)",https://stats.ncaa.org/contests/5670571/box_score
1248,09/13/2024,UC Irvine (Big West) vs Colorado (Big 12),"[2-3] (25-21, 17-25, 25-19, 20-25, 13-15)",https://stats.ncaa.org/contests/5670572/box_score
1249,09/13/2024,Utah Tech (WAC) vs Col. of Charleston (CAA),"[1-3] (25-21, 20-25, 22-25, 16-25)",https://stats.ncaa.org/contests/5670576/box_score
1250,09/13/2024,Davidson (Atlantic 10) vs Queens (NC) (ASUN),"[3-2] (25-10, 25-19, 18-25, 22-25, 15-10)",https://stats.ncaa.org/contests/5670584/box_score
1251,09/13/2024,Delaware St. (MEAC) vs UConn (Big East),"[0-3] (17-25, 20-25, 16-25)",https://stats.ncaa.org/contests/5670588/box_score
1252,09/13/2024,Villanova (Big East) vs Yale (Ivy League),"[2-3] (18-25, 25-21, 25-18, 15-25, 10-15)",https://stats.ncaa.org/contests/5670589/box_score
1253,09/13/2024,Alabama (SEC) vs UTSA (AAC),"[3-2] (27-25, 24-26, 22-25, 25-22, 15-12)",https://stats.ncaa.org/contests/5670590/box_score
1254,09/13/2024,Manhattan (MAAC) vs Penn (Ivy League),"[0-3] (23-25, 17-25, 12-25)",https://stats.ncaa.org/contests/5670592/box_score
1255,09/13/2024,Coppin St. (MEAC) vs Towson (CAA),"[0-3] (12-25, 18-25, 22-25)",https://stats.ncaa.org/contests/5670593/box_score
1256,09/13/2024,Montana (Big Sky) vs North Dakota St. (Summit League),"[0-3] (23-25, 17-25, 24-26)",https://stats.ncaa.org/contests/5670595/box_score
1257,09/13/2024,Murray St. (MVC) vs SIUE (OVC),"[3-2] (20-25, 25-18, 23-25, 25-16, 15-8)",https://stats.ncaa.org/contests/5670596/box_score
1258,09/13/2024,Portland St. (Big Sky) vs Grand Canyon (WAC),"[1-3] (21-25, 26-24, 12-25, 17-25)",https://stats.ncaa.org/contests/5670597/box_score
1259,09/13/2024,Abilene Christian (WAC) vs New Mexico St. (CUSA),"[0-3] (17-25, 16-25, 24-26)",https://stats.ncaa.org/contests/5670599/box_score
1260,09/13/2024,Navy (Patriot) vs George Mason (Atlantic 10),"[1-3] (16-25, 16-25, 25-23, 21-25)",https://stats.ncaa.org/contests/5670600/box_score
1261,09/13/2024,Southeast Mo. St. (OVC) vs Central Mich. (MAC),"[1-3] (19-25, 25-23, 18-25, 16-25)",https://stats.ncaa.org/contests/5670633/box_score
1262,09/13/2024,FIU (CUSA) vs South Carolina (SEC),"[1-3] (7-25, 17-25, 26-24, 13-25)",https://stats.ncaa.org/contests/5670634/box_score
1263,09/13/2024,CSU Bakersfield (Big West) vs Boise St. (Mountain West),"[0-3] (20-25, 22-25, 18-25)",https://stats.ncaa.org/contests/5670636/box_score
